image,question,answer
image13,"Do those with tumors that had mycn amplification show diffuse granular cyto-plasm,  reflecting accumulated hepatitis B surface antigen HBsAg in chronic infections?",no
image13,"Do infected hepatocytes show diffuse granular cyto-plasm,  reflecting accumulated hepatitis B surface antigen HBsAg in chronic infections?",yes
image14,Is histopathologic features of condyloma acuminatum associated with the spread of organisms in the perivascular spaces?,no
image14,Is the whole-brain section showing the numerous areas of tissue destruction associated with the spread of organisms in the perivascular spaces?,yes
image15,"Do testicular teratomas contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",yes
image15,"Do small nests of epithelial cells and myxoid stroma forming cartilage and bone contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",no
image16,What is the nodularity caused by in other cases of nodular hyperplasia?,stromal
image16,"Does four-chamber dilation and hypertrophy demonstrate a well-demarcated nodule at the right of the field,  with a portion of urethra seen to the left?",no
image16,"Does low-power photomicrograph demonstrate a well-demarcated nodule at the right of the field,  with a portion of urethra seen to the left?",yes
image16,"Is the nodularity caused predominantly by stromal,  rather than glandular,  proliferation in other cases of nodular hyperplasia?",yes
image16,"Is typical tuberculous granuloma showing an area of central necrosis caused predominantly by stromal,  rather than glandular,  proliferation in other cases of nodular hyperplasia?",no
image16,"What is caused predominantly by stromal,  rather than glandular,  proliferation in other cases of nodular hyperplasia?",nodularity 
image17,Is atrophy seen in the brain?,yes
image17,Is reversible injury caused by aging and reduced blood supply?,no
image17,Have the meninges been stripped from the bottom half of each specimen to show the surface of the brain?,yes
image17,What of the brain is caused by aging?,atrophy 
image17,Have the necrotic cells been stripped from the bottom half of each specimen to show the surface of the brain?,no
image17,Is atrophy of the brain caused by aging and reduced blood supply?,yes
image18,Do plexiform areas show irregular plexiform masses and network of strands of epithelial cells?,yes
image18,Do common locations and the regions of involvement show central cystic change?,no
image18,Are miliary composed of central area of stellate cells and peripheral layer of cuboidal or columnar cells?,no
image18,Are epithelial follicles composed of central area of stellate cells and peripheral layer of cuboidal or columnar cells?,yes
image18,Do a few areas show central cystic change?,yes
image19,Is hyperplasia with atypia seen as glandular crowding and cellular atypia?,yes
image19,"Is a binucleate reed-sternberg cell with large,  inclusion-like nucleoli and abundant cytoplasm seen as glandular crowding and cellular atypia?",no
image20,"Does normal bone marrow in an adult show combination of mucinous, squamous and intermediate cells?",no
image20,"What shows combination of mucinous, squamous and intermediate cells?",tumour
image20,"Does the tumour show combination of mucinous, squamous and intermediate cells?",yes
image21,Are the tube and ovary to the left of the uterus totally obscured by a hemorrhagic inflammatory mass?,yes
image21,Is the kidney adherent to the adjacent ovary on the other side?,no
image21,Is the tube adherent to the adjacent ovary on the other side?,yes
image21,Are edema totally obscured by a hemorrhagic inflammatory mass?,no
image22,Does the cellular adaptation depicted here consist of numerous swollen villi?,no
image22,Does the complete hydatidiform mole consist of numerous swollen villi?,yes
image23,Are distended hydropic villi and proliferation of the chorionic epithelium evident in this microscopic image?,yes
image24,"Is borderline serous cystadenoma opened to show a large,  bulky tumor mass?",no
image25,"Is part of the endocervical mucosa comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",no
image25,"Is the epithelial element comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",yes
image25,What is the epithelial element comprised of?,ducts
image26,Is m phase required for transcutaneous fnac?,no
image26,What is required for transcutaneous fnac?,equipments
image26,Is equipments required for transcutaneous fnac?,yes
image27,Is hyperplasia without atypia characterized by nests of closely packed glands?,yes
image27,Is endoscopic view of a longitudinally-oriented mallory-weiss characterized by nests of closely packed glands?,no
image28,Are this diagrammatic representation of four normal motor units present?,no
image28,"Are superficial dermal fibrosis and vascular ectasia,  both common features,  present?",yes
image29,What is small and contracted?,kidney
image29,Is small contracted kidney in chronic hypertension benign nephrosclerosis?,yes
image30,Is this degree of external dysmorphogenesis associated with severe internal anomalies such as maldevelopment of the brain and cardiac defects in almost all cases?,yes
image30,"Is the granuloma in the center associated with a lethal malformation,  in which the midface structures are fused or ill-formed?",no
image30,"Is stillbirth associated with a lethal malformation,  in which the midface structures are fused or ill-formed?",yes
image30,"What is associated with a lethal malformation,  in which the midface structures are fused or ill-formed?",stillbirth
image30,Are the midface structures fused or ill-formed?,yes
image30,Is atrophy associated with severe internal anomalies such as maldevelopment of the brain and cardiac defects in almost all cases?,no
image31,Is islet inflammation noted at earlier observations?,yes
image31,"Is the glomerulus observed late in the natural history of this form of diabetes,  with islet inflammation noted at earlier observations?",no
image31,"Is the tan-colored,  encapsulated small tumor noted at earlier observations?",no
image31,"What is observed late in the natural history of this form of diabetes,  with islet inflammation noted at earlier observations?",amyloidosis
image31,"Is Amyloidosis observed late in the natural history of this form of diabetes,  with islet inflammation noted at earlier observations?",yes
image32,Is formation of granulation tissue no invasion across the basement membrane?,no
image32,Is there no invasion across the basement membrane?,yes
image32,Do the individual cells in layers show features of cytologic atypia and mitosis?,yes
image32,Is the necrosed area on right side of the field keratosis and orderly arrangement of increased number of layers of stratified mucosa?,no
image32,Is the pleural surface of the specimen of the lung increased?,no
image32,Is the number of layers increased?,yes
image32,Is there keratosis and orderly arrangement of increased number of layers of stratified mucosa?,yes
image32,Do defects in any of the six show features of cytologic atypia and mitosis?,no
image33,How are the individual tumour cells?,small
image33,"Are the individual tumour cells small, uniform, lymphocyte-like with scanty cytoplasm?",yes
image33,"Are the atypical dysplastic squamous cells small, uniform, lymphocyte-like with scanty cytoplasm?",no
image33,"Are the tumour cells arranged in sheets, cords or aggregates and at places form pseudorosettes?",yes
image33,What are the tumour cells arranged in?,sheets
image33,"Are the alveoli and respiratory bronchioles surrounding the coal macule arranged in sheets, cords or aggregates and at places form pseudorosettes?",no
image34,Is a giant cell with inclusions toxic to macrophages?,no
image34,Are the tiny silica particles toxic to macrophages?,yes
image35,Is early organization of intraalveolar exudate seen?,yes
image36,"Were all three transverse sections of myocardium absent in the rectum,  but presented in the sigmoid colon?",no
image36,"Were ganglion cells absent in the rectum,  but presented in the sigmoid colon?",yes
image37,Are a distinct nuclear inclusion and multiple cytoplasmic inclusions seen in an enlarged cell?,yes
image37,Are the effector arms of these central circuits seen in an enlarged cell?,no
image38,Are the opened up chambers of the heart seen?,no
image38,Are a few well-developed cell nests with keratinisation evident?,yes
image38,What are a few well-developed cell nests with?,keratinisation
image38,Are islands of invading malignant squamous cells seen?,yes
image38,Are these tumour cells evident?,no
image39,Are cells obtained by fine-needle aspiration of a papillary carcinoma?,yes
image39,Are characteristic intranuclear inclusions visible in some of the aspirated cells?,yes
image39,Is wilms tumor visible in some of the aspirated cells?,no
image39,What is obtained by fine-needle aspiration of a papillary carcinoma?,cells
image40,"Is the cause of reversible injury at the right, in the specimen shown?",no
image40,"Is the placenta at the right, in the specimen shown?",yes
image40,Does the blue area extend from the portion of the amniotic sac to encircle the leg of the fetus?,no
image40,Does the band of amnion extend from the portion of the amniotic sac to encircle the leg of the fetus?,yes
image41,What are characterized by clusters of large ganglion cells with vesicular nuclei and abundant eosinophilic cytoplasm arrow?,ganglioneuromas
image41,Are infants who survive presented in the background stroma?,no
image41,Are Ganglioneuromas characterized by clusters of large ganglion cells with vesicular nuclei and abundant eosinophilic cytoplasm (arrow)?,yes
image41,Are spindle-shaped Schwann cells present in the background stroma?,yes
image41,Is a liver characterized by clusters of large ganglion cells with vesicular nuclei and abundant eosinophilic cytoplasm arrow?,no
image42,Is necrosis elicited by firm stroking of skin of forearm with a pencil?,no
image42,Is 'triple response ' elicited by firm stroking of skin of forearm with a pencil?,yes
image43,Is the wall of the artery composed of cells with abundant eosinophilic cytoplasm and small regular nuclei on this high-power view?,no
image43,Is the tumor composed of cells with abundant eosinophilic cytoplasm and small regular nuclei on this high-power view?,yes
image44,"Are the alveolar septa widened and thickened due to congestion, oedema and mild fibrosis?",yes
image44,Do the alveolar lumina contain heart failure cells alveolar macrophages containing haemosiderin pigment?,yes
image44,"Are the interstitial vasculature widened and thickened due to congestion, oedema and mild fibrosis?",no
image45,Is the background myxoid?,yes
image45,What is myxoid?,background
image45,Are the tumour cells quite variable in size having characteristic bubbly cytoplasm and anisonucleocytosis?,yes
image46,Is the stromal core composed of dense fibrous tissue which shows nonspecific inflammation?,yes
image46,What is covered by endocervical mucosa with squamous metaplasia?,surface
image46,Is the surface covered by endocervical mucosa with squamous metaplasia?,yes
image46,Is ALDH covered by endocervical mucosa with squamous metaplasia?,no
image46,Is moebic liver abscess composed of dense fibrous tissue which shows nonspecific inflammation?,no
image47,"Are pallor or halos around nuclei,  prominent keratohyalin granules,  and related cytopathic changes seen at higher magnification?",yes
image47,"Are the relative locations,  sizes,  and distances between genes seen at higher magnification?",no
image47,Does this specimen from a patient with periventricular leukomalacia contain zones of papillary epidermal proliferation that often radiate symmetrically like the points of a crown?,no
image47,Do common warts contain zones of papillary epidermal proliferation that often radiate symmetrically like the points of a crown?,yes
image48,"Does microscopic examination show marked epidermal hyperplasia,  downward extension of rete ridges,  and prominent parakeratotic scale with infiltrating neutrophils?",yes
image48,"Does rupture of a meningeal artery,  usually associated with a skull fracture,  show marked epidermal hyperplasia,  downward extension of rete ridges,  and prominent parakeratotic scale with infiltrating neutrophils?",no
image49,"Do hepatocytes contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",no
image49,"Do testicular teratomas contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",yes
image50,Does sectioned surface of the parotid gland show lobules of grey-white circumscribed tumour having semitranslucent parenchyma?,yes
image50,Does these cases show lobules of grey-white circumscribed tumour having semitranslucent parenchyma?,no
image51,Are the new virions crush-smeared by flat pressure with cover slip or glass slide ?,no
image51,Are semisolid aspirates crush-smeared by flat pressure with cover slip or glass slide ?,yes
image52,Does a scar smaller than the original wound aspirate show megaloblastic erythropoiesis?,no
image52,Does examination of bone marrow aspirate show megaloblastic erythropoiesis?,yes
image53,Does plaque show bundles of normal-looking smooth muscle cells?,no
image53,Does microscopic appearance of leiomyoma show bundles of normal-looking smooth muscle cells?,yes
image54,Are various types of epithelial cells stain with cytokeratin for epithelial cells?,no
image55,"Is the cyst wall densely infiltrated by chronic inflammatory cells, chiefly lymphocytes, plasma cells and macrophages?",yes
image55,"Is normal non-activated platelet, having open canalicular system and the cytoplasmic organelles densely infiltrated by chronic inflammatory cells, chiefly lymphocytes, plasma cells and macrophages?",no
image56,"Is the inner circle shown with green line comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",no
image56,What is the epithelial element comprised of?,ducts
image56,"Is the epithelial element comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",yes
image57,"Is the lumen filled by a large,  layered thrombus?",yes
image57,"Is the areas of white chalky deposits filled by a large,  layered thrombus?",no
image57,Is the wall of the aneurysm attenuated?,yes
image57,Is acute cellular rejection of a kidney graft attenuated?,no
image58,"Does embolus derived from a lower-extremity deep venous thrombus show several small malignant glands with enlarged nuclei,  prominent nucleoli,  and dark cytoplasm,  as compared with the larger,  benign gland?",no
image58,"Does higher magnification show several small malignant glands with enlarged nuclei,  prominent nucleoli,  and dark cytoplasm,  as compared with the larger,  benign gland?",yes
image58,Are the small glands crowded in between larger benign glands?,yes
image58,Are t_h17 cells crowded in between larger benign glands?,no
image59,Are a majority of the tumor cells involved by a superficial bacterial infection showing the characteristic erythematous scablike lesions crusted with dried serum?,no
image59,Is a child 's arm involved by a superficial bacterial infection showing the characteristic erythematous scablike lesions crusted with dried serum?,yes
image60,What has caseating epithelioid cell granulomas having Langhans 'giant cells and peripheral layer of lymphocytes?,stroma
image60,Has the mucosal caseating epithelioid cell granulomas having Langhans 'giant cells and peripheral layer of lymphocytes?,no
image60,Has the stroma caseating epithelioid cell granulomas having Langhans 'giant cells and peripheral layer of lymphocytes?,yes
image61,"Are undifferentiated pleomorphic sarcoma showing anaplastic relatively small,  symmetric,  and uniformly pigmented?",no
image61,"Are melanocytic nevi relatively small,  symmetric,  and uniformly pigmented?",yes
image62,Is the covering mucosa grey-white fleshy with areas of haemorrhage and necrosis?,no
image62,Is cut surface grey-white fleshy with areas of haemorrhage and necrosis?,yes
image62,Is iron somewhat circumscribed?,no
image62,Is the lobulated tumour infiltrating the skeletal muscle somewhat circumscribed?,yes
image63,Do infected cells show distinct nuclear inclusions?,yes
image63,Do energy stores show distinct nuclear inclusions?,no
image64,What is there throughout the entire thickness of the epithelium?,hyperkeratosis
image64,"Is there hyperkeratosis, parakeratosis, acanthosis, koilocytosis and presence of atypical anaplastic cells throughout the entire thickness of the epithelium?",yes
image64,"Is bone biopsy hyperkeratosis, parakeratosis, acanthosis, koilocytosis and presence of atypical anaplastic cells throughout the entire thickness of the epithelium?",no
image64,Does the central area show mitotic figures in the layers of squamous epithelium?,no
image64,Does photomicrograph on right under higher magnification show mitotic figures in the layers of squamous epithelium?,yes
image65,What is enlarged and heavy?,kidney
image65,Is the kidney enlarged and heavy?,yes
image65,Is the glomeruli enlarged and heavy?,no
image65,"Is the cystic change seen to extend into renal p arenchyma, compressing the cortex as a thin rim at the periphery?",yes
image65,"Is bone biopsy seen to extend into renal p arenchyma, compressing the cortex as a thin rim at the periphery?",no
image65,Are these cysts communicating with the pelvi-calyceal system unlike polycystic kidney?,yes
image66,"Are the interstitial vasculature widened and thickened due to congestion, oedema and mild fibrosis?",no
image66,Do line of demarcation between gangrenous segment and the viable bowel contain heart failure cells alveolar macrophages containing haemosiderin pigment?,no
image66,"Are the alveolar septa widened and thickened due to congestion, oedema and mild fibrosis?",yes
image66,Do the alveolar lumina contain heart failure cells alveolar macrophages containing haemosiderin pigment?,yes
image67,"How is a solitary,  well-circumscribed nodule in this gross specimen?",visible
image67,"How is a solitary,  well-circumscribed nodule in this gross specimen?",visible
image67,Is genomic dna visible in this gross specimen?,no
image67,"Is a solitary,  well-circumscribed nodule visible in this gross specimen?",yes
image67,"Is a solitary,  well-circumscribed nodule visible in this gross specimen?",yes
image67,Is borderline serous cystadenoma visible in this gross specimen?,no
image68,What is enlarged in size and weight?,kidney
image68,Is the kidney enlarged in size and weight?,yes
image68,What shows characteristic 'flea bitten kidney ' due to tiny petechial haemorrhages on the surface?,cortex
image68,Does the peripheral zone show characteristic 'flea bitten kidney ' due to tiny petechial haemorrhages on the surface?,no
image68,Does the cortex show characteristic 'flea bitten kidney ' due to tiny petechial haemorrhages on the surface?,yes
image69,What is attached to the kidney?,neuroblastoma
image69,Is FISH using a fluorescein-labeled cosmid probe for N-myc on a tissue section containing neuroblastoma attached to the kidney?,yes
image69,Is spindle-shaped schwann cells attached to the kidney?,no
image69,Does this correspond to amplified N-MYC in the form of homogeneously staining regions?,yes
image69,Does section of an involved lacrimal gland correspond to amplified N-MYC in the form of homogeneously staining regions?,no
image69,Do renal tubular epithelial cells in the lower half of the photograph show no nuclear staining and background cytoplasmic staining?,yes
image69,Do the photomicrographs show no nuclear staining and background cytoplasmic staining?,no
image70,"Does acute tubular epithelial cell injury with blebbing at the luminal pole,  detachment of tubular cells from their underlying basement membranes,  and granular cast?",yes
image70,"Whose underlying basement membranes is detachment of tubular cells from,  and granular casts?",their
image70,"Acute tubular epithelial cell injury with blebbing at the luminal pole , detachment of tubular cells from whose underlying basement membranes , and granular casts ?",their
image70,Does homogeneous or diffuse staining of nuclei cast?,no
image71,What are the tumour cells arranged in?,sheets
image71,"Are the tumour cells arranged in sheets, cords or aggregates and at places form pseudorosettes?",yes
image71,"Are scanty cytoplasm and markedly hyperchromatic nuclei arranged in sheets, cords or aggregates and at places form pseudorosettes?",no
image71,How are the individual tumour cells?,small
image71,"Are the individual tumour cells small, uniform, lymphocyte-like with scanty cytoplasm?",yes
image71,"Are some leucocytes and red cells and a tight meshwork small, uniform, lymphocyte-like with scanty cytoplasm?",no
image72,Is an asbestos body an asbestos fibre coated with glycoprotein and haemosiderin giving it beaded or dumbbell-shaped appearance with bulbous ends?,yes
image72,Is the interstitial vasculature an asbestos fibre coated with glycoprotein and haemosiderin giving it beaded or dumbbell-shaped appearance with bulbous ends?,no
image73,Is the segmental distribution in this case typical of ANCA (anti-neutrophil cytoplasmic antibody)- associated crescentic glomerulonephritis?,yes
image73,Does normal media for comparison indicate areas of necrosis and crescent formation?,no
image73,Is a characteristic tubercle at low magnification typical of ANCA anti-neutrophil cytoplasmic antibody - associated crescentic glomerulonephritis?,no
image74,Are these nests composed of uniform cuboidal cells having granular cytoplasm?,yes
image74,Are the tumour cells composed of uniform cuboidal cells having granular cytoplasm?,no
image74,What shows a characteristic nested of cells separated by fibrovascular septa?,tumour
image74,Does the show a characteristic nested of cells separated by fibrovascular septa?,no
image74,Does the tumour show a characteristic nested of cells separated by fibrovascular septa?,yes
image75,Does uppurative diseases show characteristically increased number of megakaryocytes with single non-lobulated nuclei and reduced cytoplasmic granularity inbox on right photomicrograph?,no
image75,Is aboratory findings of ITP contrasted with those found in a normal individual?,yes
image75,Does ideroblastic anaemia bone marrow show presence of reduced number of platelets which are often large?,no
image76,Does silver stain highlight the broad-based budding seen in Blastomyces immitis organisms?,yes
image76,Does the absence of staining highlight the broad-based budding seen in Blastomyces immitis organisms?,no
image77,"Are premitotic phases the G1, S and G2 phase while M phase is accomplished in 4 sequential stages: prophase, metaphase, anaphase, and telophase?",yes
image77,"Are M phase formed which may continue to remain in the cell cycle or go out of it in resting phase interphase, the G0 phase on completion of cell division?",no
image77,How many phases are in premitotic phases?,4
image77,"Is M (mitotic) phase accomplished in 4 sequential stages: prophase, metaphase, anaphase, and telophase?",yes
image77,"Are two daughter cells formed which may continue to remain in the cell cycle or go out of it in resting phase interphase, the G0 phase on completion of cell division?",yes
image77,"Are M phase the G1, S and G2 phase while M phase is accomplished in 4 sequential stages: prophase, metaphase, anaphase, and telophase?",no
image77,"How many daughter cells are formed which may continue to remain in the cell cycle or go out of it in resting phase interphase, the G0 phase on completion of cell division?",two
image78,What is the colour of sectioned surface?,grey-tan 
image78,Is the spleen heavy and enlarged in size?,yes
image78,What is heavy and enlarged in size?, spleen
image78,Is the vesselwall heavy and enlarged in size?,no
image78,Is the cut surface grey-tan?,no
image78,Is the colour of sectioned surface grey-tan?,yes
image79,Does the sectioned surface show replacement of almost whole kidney by the tumour leaving a thin strip of compressed renal tissue at lower end arrow?,yes
image79,Does the tubular lumina cont ain show replacement of almost whole kidney by the tumour leaving a thin strip of compressed renal tissue at lower end arrow?,no
image80,Had thrombus in the left and right ventricular apices undergone spontaneous regression?,no
image80,Had the congenital capillary hemangioma at 2 years of age after the lesion undergone spontaneous regression?,yes
image81,Does collagen stain preparation of a bronchoalveolar lavage specimen show gram-negative intracellular rods typical of members of Enterobacteriaceae such as Klebsiella pneumoniae or Escherichia coli?,no
image81,Does gram stain preparation of a bronchoalveolar lavage specimen show gram-negative intracellular rods typical of members of Enterobacteriaceae such as Klebsiella pneumoniae or Escherichia coli?,yes
image82,Does bilayer lipid membrane show replacement of the cervix by irregular greywhite friable growth extending into cervical canal as well as distally into attached vaginal cuff?,no
image82,"Is the granuloma of a fungating or exophytic, cauliflower-like tumour?",no
image82,"Is invasive carcinoma of the cervix common gross appearance of a fungating or exophytic, cauliflower-like tumour?",yes
image82,Does Gross photograph on right show replacement of the cervix by irregular greywhite friable growth extending into cervical canal as well as distally into attached vaginal cuff?,yes
image83,Do the photomicrographs show an inflammatory reaction in the myocardium after ischemic necrosis infarction?,yes
image83,Do apoptotic cells in colonic epithelium show an inflammatory reaction in the myocardium after ischemic necrosis infarction?,no
image84,Does ischemic injury showing surface blebs show a thickened neointima overlying the stent wires black diamond encroaches on the lumen asterisk?,no
image84,"Does the histologic view show a thickened neointima overlying the stent wires (black diamond indicated by the arrow), which encroaches on the lumen (asterisk)?",yes
image85,Does this benign tumor have an expansile growth pattern with pushing circumscribed borders?,yes
image85,Does bone marrow from an infant have an expansile growth pattern with pushing circumscribed borders?,no
image86,Does the inner core of tan tissue demonstrate clusters of tangled bacilli (black)?,no
image86,Does modified silver stain demonstrate clusters of tangled bacilli (black)?,yes
image86,Are numerous islands of extramedullary hematopoiesis those of acute inflammation and capillary proliferation?,no
image86,Are histologic features those of acute inflammation and capillary proliferation?,yes
image87,Do the photomicrographs show an inflammatory reaction in the myocardium after ischemic necrosis infarction?,yes
image87,Do the meninges show an inflammatory reaction in the myocardium after ischemic necrosis infarction?,no
image88,"Are remote contusions,  seen as discolored yellow areas,  present on the inferior frontal surface of this brain?",yes
image88,Are the lumen of the bronchus present on the inferior frontal surface of this brain?,no
image89,Do enlarged oligodendrocyte nuclei stained for viral antigens surround an area of early myelin loss?,yes
image89,Do others surround an area of early myelin loss?,no
image90,What shows koilocytes having abundant vacuolated cytoplasm and nuclear enlargement?,smear
image90,Does the smear show koilocytes having abundant vacuolated cytoplasm and nuclear enlargement?,yes
image90,Does the covering mucosa show koilocytes having abundant vacuolated cytoplasm and nuclear enlargement arrow?,no
image90,Does the background show numerous PMNs?,yes
image90,Did scanty cytoplasm and markedly hyperchromatic nuclei have irregular nuclear outlines?,yes
image90,Did suspension of leucocytes above have irregular nuclear outlines?,no
image90,Do the squamous cells have scanty cytoplasm and markedly hyperchromatic nuclei having irregular nuclear outlines?,yes
image90,Do lassification of chromosomes have scanty cytoplasm and markedly hyperchromatic nuclei having irregular nuclear outlines?,no
image90,What shows numerous PMNs?,background
image90,What does the background show?,pmns
image90,Does there show numerous PMNs?,no
image91,Is the testis enlarged and nodular distorting the testicular contour?,yes
image91,Is infarcted area enlarged and nodular distorting the testicular contour?,no
image91,"Does sectioned surface show replacement of the entire testis by variegated mass having grey-white solid areas, cystic areas, honey-combed areas and foci of cartilage and bone?",yes
image91,"Does peripheral blood in itp show replacement of the entire testis by variegated mass having grey-white solid areas, cystic areas, honey-combed areas and foci of cartilage and bone?",no
image91,What is enlarged and nodular distorting the testicular contour?,testis
image92,Is the circumscribed lesion composed of mature collagenised fibrous connective tissue?,yes
image92,Is sectioned surface composed of mature collagenised fibrous connective tissue?,no
image93,Is this silver stain preparation of brain tissue from a patient with Lyme disease meningoencephalitis?,yes
image93,Is a homer-wright pseudorosette stain preparation of brain tissue from a patient with Lyme disease meningoencephalitis?,no
image94,Does gross examination of a resected sigmoid colon invade the dermal soft tissue as irregular projections of atypical squamous cells exhibiting acantholysis?,no
image94,Does the tumor invade the dermal soft tissue as irregular projections of atypical squamous cells exhibiting acantholysis?,yes
image94,Did irregular projections of atypical squamous cells exhibit acantholysis?,yes
image94,Did intramembranous characteristically dense deposits exhibit acantholysis?,no
image94,What did irregular projections of atypical squamous cells exhibit?,acantholysis
image95,Is the tumour firm and fibrous?,no
image95,Is cut surface of the mass firm and fibrous?,yes
image95,Is photomicrograph on right under higher magnification circumscribed with irregular surface convolutions and prominent blood vessels?,no
image96,Is the amorphous nature of the thickened vascular wall evident?,yes
image96,Is severe renal hyaline arteriolosclerosis in the periodic acid-Schiff stain specimen?,yes
image97,Had the congenital capillary hemangioma at birth after the lesion undergone spontaneous regression?,yes
image98,Does the b-cell antigen receptor complex correspond to areas of hemorrhagic infarction and transmural necrosis?,no
image98,Does the congested portion of the ileum correspond to areas of hemorrhagic infarction and transmural necrosis?,yes
image99,"What consists of tightly adhesive clusters of cells,  as in this carcinoma with medullary features,  or when there is abundant extracellular mucin production?",carcinomas
image99,"Do carcinomas consist of tightly adhesive clusters of cells,  as in this carcinoma with medullary features,  or when there is abundant extracellular mucin production?",yes
image99,"Do characteristic peribronchial noncaseating granulomas with many giant cells consist of tightly adhesive clusters of cells,  as in this carcinoma with medullary features,  or when there is abundant extracellular mucin production?",no
image100,Does sectioned slice of the liver show mottled appearance-alternate pattern of dark congestion and pale fatty change?,no
image100,Does the cut surface show mottled appearance-alternate pattern of dark congestion and pale fatty change?,yes
image101,Is equence of events in the pathogenesis of reversible and irreversible cell injury caused by hypoxia/ischaemia?,yes
image101,Is m phase caused by hypoxia/ischaemia?,no
image101,What is sequence of events in the pathogenesis of reversible and irreversible cell injury cause by?,hypoxia/ischaemia
image102,Is the kidney markedly enlarged?,yes
image102,Is libman-sacks endocarditis markedly enlarged?,no
image103,Does the bronchial biopsy specimen from an asthmatic patient fill phagocytes in a lymph node of a patient with disseminated histoplasmosis silver stain?,no
image103,Do histoplasma capsulatum yeast forms fill phagocytes in a lymph node of a patient with disseminated histoplasmosis silver stain?,yes
image104,Can infiltration of the surface epithelium by T lymphocytes be recognized by their densely stained nuclei?,yes
